Tamanio,Mejor Caso,Peor Caso,Caso Promedio
1,0,0,0
2,0,1,1
3,0,3,1
4,0,6,3
5,0,10,3
6,0,15,9
7,0,21,9
8,0,28,16
9,0,36,21
10,0,45,24
11,0,55,26
12,0,66,38
13,0,78,46
14,0,91,46
15,0,105,46
16,0,120,88
17,0,136,72
18,0,153,65
19,0,171,90
20,0,190,97
21,0,210,88
22,0,231,138
23,0,253,111
24,0,276,113
25,0,300,134
26,0,325,205
27,0,351,202
28,0,378,135
29,0,406,179
30,0,435,230
31,0,465,232
32,0,496,254
33,0,528,257
34,0,561,276
35,0,595,290
36,0,630,290
37,0,666,346
38,0,703,380
39,0,741,409
40,0,780,459
41,0,820,438
42,0,861,427
43,0,903,450
44,0,946,464
45,0,990,617
46,0,1035,459
47,0,1081,503
48,0,1128,468
49,0,1176,556
50,0,1225,621
51,0,1275,637
52,0,1326,676
53,0,1378,756
54,0,1431,726
55,0,1485,701
56,0,1540,782
57,0,1596,778
58,0,1653,770
59,0,1711,907
60,0,1770,864
61,0,1830,961
62,0,1891,823
63,0,1953,987
64,0,2016,903
65,0,2080,1185
66,0,2145,1026
67,0,2211,1097
68,0,2278,1104
69,0,2346,1183
70,0,2415,1216
71,0,2485,1317
72,0,2556,1249
73,0,2628,1281
74,0,2701,1240
75,0,2775,1379
76,0,2850,1380
77,0,2926,1471
78,0,3003,1715
79,0,3081,1372
80,0,3160,1594
81,0,3240,1546
82,0,3321,1572
83,0,3403,1969
84,0,3486,1686
85,0,3570,1789
86,0,3655,1883
87,0,3741,1819
88,0,3828,1761
89,0,3916,1813
90,0,4005,2004
91,0,4095,2008
92,0,4186,1806
93,0,4278,2408
94,0,4371,2172
95,0,4465,2246
96,0,4560,2204
97,0,4656,2226
98,0,4753,2201
99,0,4851,2242
100,0,4950,2739
